CHARACTER	Bijiang Bai	Classic Old Chinese	Comments	Dali Bai	Dialectal data	Early Postclassic Chinese	Eastern Han Chinese	English meaning	Four-angle index	Go-on	Japanese reading	Jianchuan Bai	Kan-on	Karlgren code	Late Postclassic Chinese	Middle Chinese	Middle Postclassic Chinese	Modern .Beijing. reading	Preclassic Old Chinese	Radical	Russian meaning.s.	Shijing occurrences	Sino-Tibetan etymology	Vietnamese reading	Western Han Chinese
頗			The original meaning is probably 'slanting, oblique' (attested in Chuci).		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1940&root=config				8117					0025 p		phāj		pǒ		181	1) очень, весьма; сильно; значительно; 2) приблизительно; кое-что; 3) По (<i>фамилия</i>); [pō] неравный				
耜		lhǝ́				zhjɨ́	zhjǝ́		1456					0976 k	zhjɨ́	zjɨ́	zhjɨ́	sì	lhǝʔ	127	сошник, лемех		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1760&root=config		lhǝ́
纍		rwǝj	For *r- cf. Min: Fuzhou lui2. Since L.Zhou more frequently used with the meaning 'to bind (round)', 'large rope' (in the latter sense also written as 縲); rather frequently confused (for obvious graphic and phonetic reasons) with 累 *rojʔ q.v. Standard Sino-Viet. is luy. Etymology see under 藟 *rujʔ.			lwij	rwǝj		8269					0577 f	lwi	lwi	lwij	léi	ruj	120	1) веревка; канат; 2) связывать; скручивать; обвивать, обматывать; 3) связанный; арестованный; 4) непрерывный; 5) нагромождать; обременять, <i>вм.</i> 累; 6) Лэй (<i>фамилия</i>)	4.1_		rối	rwǝj
兔	tho4-	thāh	Cf. PA *t`ŏ̀gsu 'hare'.	tho4-	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+485&root=config	thṑ	thāh		7581			tho4-		0063 a-b	thṑ	thò	thṑ	tù	thās (~ sl(h)-, ~ ƛ(h)-, ~ -ks)	10	1) заяц; кролик; <i>обр.</i> луна; 2) мальчик-наложник	7.1, 7.2, 7.3		tho`	thāh
裒		bhrō	The same word was later written as 掊 and 捊. The latter graph has also  a MC reading bạw ( &lt; *bhrū) which allows to reconstruct the cluster with *-r-. For *bh- cf. Fuzhou phaü<sup>6</sup> (reflecting a variant *bhrōʔ), Jianou pha<sup>9</sup>.			bhạ̄	bhrǟ		5727	bu			hou	1230 a	bhạ̄	bʌw	bhạ̄	póu	bhrō	145	1) собирать(ся); 2) сокращать(ся), уменьшать(ся)			bâu	bhrā
料		rēwh	Also read *rēw, MC liew id. (whence Viet. liều 'dose (of medicine)').  The earliest attestation of the character is in Zhuangzi, where it is used  instead of 撩 *rēw 'to pull, push' (q.v.). For *r cf. Xiamen liau<sup>6</sup>, Chaozhou liǝu<sup>6</sup>, Fuzhou lau<sup>6</sup>, Jianou liau<sup>6</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+951&root=config	liḕw	riāwh		2659						liḕw	lìew	liḕw	liào	rēws	119	1) измерять, исчислять; считать, рассчитывать; мера, количество; 2) соображать; предвидеть, предполагать; предположительно; 3) распоряжаться, хозяйничать; 4) материал; фураж; кормовой; 5) цветное стекло, имитация под драгоценный камень; 6) <i>бран.</i> негодник			liệu	rjāwh
泲		cǝ̄́j				cǝ̄́j	cǝ̄́j		9999						cǝ̄́j	ciéj	cǝ̄́j	jǐ	ćǝ̄jʔ	85	Цзи (река)*	39.2_			cǝ̄́j
慟									4676					1188 n				tòng		61	скорбеть, убиваться, чрезмерно горевать; убитый горем				
潦		r(h)ā́w				l(h)ā́w	r(h)ā́w		8242					1151 u	l(h)ā́w	lấw	l(h)ā́w	lào	r(h)āwʔ	85	затоплять; погружаться в воду; быть затопленным; [lǎo] 1) потоки воды (<i>на дороге</i>); 2) проливной (<i>о дожде</i>); дождливый (<i>о сезоне</i>); [liáo] 1) неудачный, неблагоприятный; 2) небрежный; 3) <i>стар. сокр.</i> Ляохэ (<i>река в провинции Ляоси</i>)	15.1_			r(h)ā́w
彀					response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2596&root=config				6144					1226 p				gòu		57	1) натянуть лук до отказа; 2) сфера; 3) форма, образец, <i>см.</i> 入彀; 4) достаточно, довольно, хватит, <i>см.</i> 夠				
棫									0					0929 g-i				yù		0					
瀉					response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2355&root=config				4414					0799 h				xiè		85	понос; страдать поносом; прослабить; [xiě] стекать; сливать				
勝		ƛǝŋ	Also read *ƛǝŋ-s, MC śìŋ, Mand. shèng, Viet. thắng 'to conquer, vanquish, overcome'.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1344&root=config	śɨŋ	śǝŋ		4752					0893 p	śɨŋ	śiŋ	śɨŋ	shèng shēng	ƛǝŋ	19	1) победа; побеждать; триумф; одержать верх, выиграть, одолеть; победный, триумфальный; побежденный; прошлый (<i>о династии</i>); 2) превосходить; прекрасный, блестящий, превосходный; знаменитый; достопримечательность; лучше, чем...; важнее, чем...; быть сильным (<i>в чем-л.</i>); 3) легко, весело; 4) историческое место; реликвия; 5) женская прическа; 6) Шэн (<i>фамилия</i>); [shēng] 1) справиться с... (<i>напр. с работой</i>); соответствовать (<i>напр. служебному положению</i>); подходить для..., годиться; 2) до конца			thăng	l̥ǝŋ
毛	mie7,-mie4	mhāw	Viet. mào is a colloquial loanword (with a modified meaning: 'comb, crest  (of bird)'); standard Sino-Viet. is mao. For OC *mh- cf. Meixian mau<sup>1</sup>, Yilan mo<sup>1</sup>. In EZ the word is also written as 旄 q.v. Also read *mhāw-s, MC mầw (FQ 莫報) id.	ma7, -ma5	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+107&root=config	mhāw	mhāw		7204			ma7, -ma4		1137 a-b	mhāw	mâw	mhāw	máo	mhāw	82	1) шерсть; волос; пух, перья; волоски (<i>растений</i>); ворс; волосатый; мохнатый; 2) незначительный, мелкий; 3) гривенник, 10 фэней; мелкая монета (<i>общее понятие</i>); 4) грубый; неотделанный; сырой; предварительный; 5) молодой, желторотый; 6) растеряться от страха; 7) <i>вост. диал.</i> приблизительно, примерно, около; 8) Мао (<i>фамилия</i>)		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=++81&root=config	mào	mhāw
懟									8431					0511 i				duì		61	не любить, ненавидеть; роптать, досадовать; недовольство, жалоба				
已		lǝ́	Used also for a homonymous interjection *lǝʔ 'oh'; sometimes used as a loan for 以 *lǝʔ.			źɨ́	źǝ́		7080						jɨ́	jɨ́	jɨ́	yǐ	lǝʔ	49	1) остановить, прекратить; прекратиться, кончить; 2) уйти с поста, уйти (уволить) в отставку; дать отставку; 3) прошедший, прошлый; уже; 4) и то уже; уже чересчур; <i>указывает на законченный характер следующего действия или состояния</i>; 5) <i>древн. на конце предложений указывает законченность действия или становление, см.</i> 矣; 6) <i>древн. восклицание</i> о!, увы!; 7) <i>древн. в обстоятельствах времени, места вм.</i> 以	27.1_, 40.1, 40.2, 40.3	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1453&root=config		lǝ́
附		boh				bò	boh		3125						bò	bǜ	bò	fù	bo(ʔ)s	170	1) приложить; приложение; добавить; добавление, дополнение; 2) примыкать; следовать за...; полагаться на...; 3) окрестный, близкий; 4) поручать, доверять; 5) посылать				boh
叫		kīwh	Viet. kêu is colloquial; standard Sino-Viet. is khiếu.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+151&root=config	kiḕw	kiǝ̄wh		2668					1064 g	kiḕw	kièw	kiḕw	jiào	kīws	30	1) кричать; стрекотать; петь; 2) звать, призывать, вызывать; 3) называть, называться; 4) заказать, закупить (<i>напр. угощение</i>); 5) заставлять; посылать; дать возможность; <i>служебный побудительный глагол</i>; 6) <i>вспомогательный глагол пассивных предложений, вводит действующее лицо</i> (<i>часто сопровождается</i> 給)			kêu	kjǝ̄wh
剛		kāŋ			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+894&root=config	kāŋ	kāŋ		2854					0697 b-d	kāŋ	kâŋ	kāŋ	gāng	kāŋ	18	1) твердый, незыблемый; упорный; 2) <i>перед сказуемым</i>: только что, сейчас только; как раз; 3) нечетный (<i>о днях, числах</i>)		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2155&root=config		kāŋ
苡		lǝ́	Used in the binome 芣苡 *bhǝ-lǝʔ; see 芣. ?Cf. PA *bi̯ola 'spiraea'.			źɨ́	źǝ́		7809					0976 f-g	jɨ́	jɨ́	jɨ́	yǐ	lǝʔ	140	<i>бот.</i> 1) подорожник азиатский (Plantago major, L. var. Asiatica); 2) 薏苡 иевлева слеза (Coix lacryma, L., <i>лекарственная трава</i>)	8.1, 8.2, 8.3			lǝ́
楨									0					0834 l				zhēn		0					
領		rhéŋ	A later meaning (L.Zhou) is 'to lead, leader; to obtain, possess'; it is probably purely homophonic, not related to the meaning 'neck'.  Regular Sino-Viet. is lĩnh. For *rh cf. Jianou liaŋ<sup>8</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1941&root=config	lhéŋ	rhéŋ		8083					0823 f	lhéŋ	léŋ	lhéŋ	lǐng	rheŋʔ	181	1) шея; ворот, воротник; 2) вести, руководить; ведать, управлять; руководитель, вождь, глава; начальник; <i>сокр.</i> консул; 3) получать, брать; владеть, обладать; владение; 4) постигнуть; овладеть; 5) <i>счетный суффикс предметов одежды с воротом</i>	57.2	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+645&root=config	lãnh	rhéŋ
濡		n(h)o	During LZ also used for a homonymous *nho 'stop, tarry' (*nh- because of probable relation to 需 *snho id. q.v.).			ń(h)wo	ń(h)wa		3692					0134 f-g	ń(h)wo	ńü	ń(h)wo	rú	n(h)o	85	1) мочить, намачивать; увлажнять; 2) медлить, мешкать; медленно	34.2	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+590&root=config		n(h)wa
島		tū́	Attested in Shujing, but absent from Schüssler's dictionary.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+918&root=config	tǝ̄́w	tǝ̄́w		4488					1116 c	tā́w	tấw	tā́w	dǎo	tūʔ	46	остров; островной				tǝ̄́w
茂		mūh	The word clearly rhymes in *-ūʔ in Shijing, thus MC mʌ̀w is irregular (curiously enough mod. màu regularly reflects the unattested MC *mầw). For *m cf. Xiamen bɔ<sup>6</sup>, Chaozhou mou<sup>4</sup>, Fuzhou mau<sup>6</sup>, Jianou me<sup>6</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+844&root=config	mū̀	mūh		6837					1231 f	mū̀	mʌ̀w	mū̀	mào	mūʔs	140	1) цветущий, роскошный; густой (<i>о растительности</i>); расцветать; расцвет; 2) прекрасный, превосходный; выдающийся				mūh
燃		nhan	For *nh- cf. Xiamen hiã<sup>2</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2176&root=config	ńhen	ńhan		8597					0217 b	ńhen	ńen	ńhen	rán	nhan	86	жечь; зажигать(ся), поджигать; воспламенять(ся)		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+539&root=config		nhan
疹		thǝnh	Attested in Shijing (during Late Zhou - with the meaning 'fever'), but not in Schüssler's dictionary.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1006&root=config	ćhìn	ćhǝnh		4105					0453 j	ćhìn	ṭhìn	ćhìn	zhěn	thǝrs	104	корь; сыпь				thǝnh
昜									0					0720 a-d						0					
閻					response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2226&root=config				3374					0672 m				yán		169	1) ворота деревни; околица; деревня; 2) ад; адский; 3) Янь (<i>фамилия</i>)				
塹									199					0610 g				qiàn		32	1) крепостной ров; 2) водосточный канал; 3) яма				
盟		mraŋ	Modern méng is irregular (míng should be expected). For *m cf. Xiamen miŋ<sup>2</sup>, Chaozhou meŋ<sup>2</sup>, Fuzhou meŋ<sup>2</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1666&root=config	meŋ	mreŋ		684					0760 e-f	meŋ	mäiŋ	meŋ	méng	mraŋ	108	1) союз, лига; клятвенное обещание союза; 2) сейм (<i>в Монголии</i>)				mraŋ
秋		chiw		ćhou6-	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+822&root=config	chjiw	chjǝw		5458	siyu	shū;aki	ćhɨ4-	siu	1092 a	chjiw	chjǝw	chjiw	qiū	ćhiw	115	1) осень; осенний; <i>перен.</i> год; 2) время, период времени; 3) созревание хлебов; жатва, сбор урожая	58.1		thu	chjǝw
媒		mǝ̄	Regular Sino-Viet. is môi. For *m cf. Xiamen m<sup>2</sup>, Chaozhou bue<sup>2</sup>, Fuzhou muoi<sup>2</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1364&root=config	mǝ̄	mǝ̄		5180					0948 c	mǝ̄j	moj	mǝ̄	méi	mǝ̄	38	1) сват, сваха; посредник; посредничать; 2) возбуждать, проводить; проводник; фермент; закваска; возбудитель; 3) приманка, ловушка	58.1_		mai	mǝ̄
薪	sẽ4	sin		śi5	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2299&root=config	sjin	sjǝn		2005			śĩ4		0382 n	sjin	sjin	sjin	xīn	sin	140	1) топливо; дрова, хворост; 2) жалованье	9.2, 9.3, 32.2_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1513&root=config		sjǝn
葑		phoŋ				phoŋ	phoŋ		3093					1197 k	phoŋ	phöuŋ	phoŋ	fēng	phoŋ	140	<i>бот.</i> 1) крестоцветные; горчичные; 2) брюква	35.1, 48.3_			phoŋ
鷽									4565					1038 h				xué		196	снегирь азиатский (Pyrrhula griseiventris)				
液		l(h)iak	There is also a reading MC śek (Tsiyün), OC *sliak 'to be soaked'  (attested in L.Chou).			ź(h)jek	ź(h)iak		6345					0800 n-o	j(h)jek	jek	j(h)jek	yè	l(h)iak	85	жидкость; сок; слюна; влага; выделять жидкость; превращать в жидкость, разжижать		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+769&root=config	dịch	l(h)iak
愒		khrat	Also read *khrat-s, MC khèj, Pek. qì; during LZ also used for *khāt-s, MC khầj, Pek. kài 'to desire; hasty'.			khet	khrat		0					0313 s	khet	khet	khet	qiè	khrat	0					khrat
遠		whán	Also read *whanʔ-s, MC wǝ̀n, Mand. yuàn 'to keep at a distance, keep away'. For *wh- cf. Min forms: Xiamen hŋ<sup>6</sup>, Chaozhou hŋ<sup>6</sup>, Fuzhou huoŋ<sup>6</sup>. Etymology see under 違.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1925&root=config	whán	whán		6593					0256 f-g	whǝ́n	wǝ́n	whǝ́n	yuǎn	whanʔ	162	1) далекий, дальний, отдаленный; далеко; вдаль; издалека; 2) намного, значительно; 3) долго; надолго; продолжительный; 4) дальновидный, прозорливый; [yuàn] удалять(ся); сторониться; отстранять(ся)	28.1, 28.2, 28.3, 33.3, 35.2, 39.2, 51.1, 51.2, 54.2_		viễn	whán
